comment_text,Sentiment_Score
nice meet another web historian,1.471571429
admire work,0.971257143
heh thanks thats nice hear ,1.8248
recently upgraded  think blisteringly fast,0.2
yes though currently bit frustrated hudson server provided us,-0.788835714
people mindless drone,-0.9558
ambitous people,0
np happens time ,0.705
welcome capitalism,1.4176
thats difficult,-1.4099
need handful people,-0.083333333
good systems meaning sustainable systems made user mind,2.44457551
things cost money,-0.020833333
system general enough solve problems,-0.598433333
operatng system java,0.041666667
like secrets,0.7224
lack privacy offers large amount power people outside control,-0.222227367
people bastards,-1.766466667
believe privacy contributes evil makes us seek privacy,-0.673481633
actually believe real issues,0.250252525
yeah good luck,2.289228571
shortterm goal pollutes clear thinking ambition,0.51775362
looking good,1.531395238
definitely true faslse data people,1.851416667
TRUE,1.103416667
wrong context true data exist,-0.428705556
learn rhiaro sure,0.6364
language look like,0.6599
understand,0
thats cool area explore,0.6364
,0
oh god damnit sorry,-0.73235
silly admins frustrating principle,-0.593
itll work passive mode,0.547457143
pass firewalls,0
misunderstood meant ,-0.68
feedbackcontributions welcome,0.9176
haha thanks dude,1.4192
familiar nodejs,0.28125
im trying activate c support swig cant,0.806577778
cant reach moment,0.128466667
thanks im trying,0.908577778
nice data,1.418
agree hurt mention,-0.735933333
disagree hurt mention,-1.720133333
better,1.2864
unfortunately graphdb support,-0.7206
welcome,1.2301
interesting working draft ,1.155651852
sounds good,1.493895238
oops sorry,-0.1544
think wed need people first,0
problem happens time ,-1.070466667
jsonld playground gives warning,-0.705568182
nothing found lov,0.006578947
sounds interesting ,1.137133333
ppl suck,-0.952228571
happy,1.7063
greeat work,0.017857143
ok ur time,1.092
biggest frustration fragmentation software,-1.003079487
resembles timbls frustration made create web,-0.608843537
lacking ideas,0.1
could make best renewable energy,2.379802296
thatd answer ,0
 bad idea,-1.752457143
sedih,0
ss bad infinite number designs web,-1.662312987
updated footnoteannotation stuff,-0.071428571
updated footnoteannotation stuff,-0.071428571
might prefer handheld,0.3125
happpy runs mm lx cars foot cats cactuses,-0.036966463
like movie,0.7224
way tell swig rename function things like swig something like ,1.245633333
must say fuck,-1.073236364
great success,2.267366667
ugly,-1.0212
itll work itll pretty powerful,1.579657143
got many problem,-1.08505
good rule produce,1.525145238
match negatives,-0.0625
would helpful,0.843
think could work,0.018518519
urgh maven ,0.125
cream ,0.083333333
feel quite ,0.125
poorly authored people time understand,-0.625
sounds good worldwide standardization,1.785561905
good see someone taking big stick companies,1.571199878
nothing,0
dslke,0
since last year beh tahan guy attitude already,0.027777778
well planning use redland,1.000663736
facilities redland reasoning,0.091666667
great ,1.541466667
stupid people,-1.470066667
best represent businesses multiple locations,1.672279167
loved book,1.79255
good research,1.493895238
good enough,1.618895238
dun wan see,0.041666667
thats excellent,1.1438
much better holland,1.501335714
better fit,1.846185714
function room,0.09375
looked ,0.0375
pass tuesday need time,0.041666667
need opening hours good rule language,1.481876007
unless theres good date handling ion query language,1.311603571
defining easter ,0.0875
great,1.541466667
loving  quite excelent,1.79255
books wonderful,1.8938
hes done good stuff,1.393620513
cant remember,0.109375
wow nice great job,2.557312821
yes ,1.0538
magazines tend go,0.179166667
hes done good stuff,1.393620513
yeah please use creativity ya thank,1.823571429
like guy writes wired,0.7224
need time postpone meeting pm sorry inconvenience,-1.810466667
taste way horrible,-1.520611905
misspelled dieter p,-0.375
liked sauna lot,1.171571429
nani,0
well planning use redland,1.000663736
none,0
nothing,0
gotcha,0
however patches always welcome,0.864822222
suppose changed pass now ,-0.005357143
worked ,0.018518519
im angel respect f authority,1.513221429
gnite,0
good morning,1.493895238
good afternoon,1.493895238
anyone use rdflib python programming,0.095238095
help,0.8663
exactly need,0.166666667
welcome,1.2301
imagining simple,-0.0625
well seems got files better order ,2.183175641
think value and limits of hierarchical browsing pretty well known,2.097647086
would model filesystem rdf,0
recommended person,0.6546
sadly projects discussed openly,-1.301333333
excellent,1.1438
failed subject,-1.305290909
got cgpa ,0.010416667
pass subject,0
fail,-1.0846
resit,0
repeat,0
pretty fun liked sauna lot,1.876121429
excellent location wif breakfast hamper,2.1438
cant eat liao,0
prefer free days,1.092033333
oh god damnit,-0.60515
bored lecturer repeating last weeks stuff waste time,-1.140665079
lar,0
sory,0
eating wif frens,0.041666667
break time,0.125
havent still waitin usual,-0.125
got help sheet wif,0.814216667
diu,0
chee bai,0
ka chan,0
pokai,0
cb,0
chou,-0.083333333
lan jiao,0
nia sing,0
dunno,0
dun know,0.102272727
beauty sleep help ur pimples,1.744966667
,0
lazy type,-0.7224
forgot lect,0
saw pouch like nice,1.9122
wan go there,0.0125
uniform,0
nothin comes mind,0.172619048
ur laptop heavy,0
funny,0.8808
funny,0.8808
yup comin ,0
bojio,0
jokin lar,0
ok,0.592
call  wat,0.009615385
happy birthday,1.7063
ok thanx,0.967
ok thanx,0.967
hungry,0
send contents page,0
send contents page,0
oh ok prob,0.967
huh early,0.166666667
gd luck exams ,1.000933333
sorry sent blank msg,-0.93565
reached already,0.302622222
like fr china noisy,0.5296
best  ur driving tmr ,1.8988
never thought would difficult find library basic set functions like parsing single nquad,0.104464698
really like nodejs ,1.2152
weird way software ive tried,-0.442605556
sorry budget,-0.1544
suggestion welcome,1.209266667
cannot import,0
looks like simple typeo easy fix,1.225352381
weird valid hypothesis,-0.4183
contribute sw,0
high contribute,0.107142857
receive leh,0
,0
dunno,0
need ,-0.0625
graduate already,0.125
havent graduate,0
cannot graduate,-0.083333333
back ,0
waiting graduation,-0.09375
punish keep push,-1.056809091
hahahahaha,0
miss,-0.3062
love much,1.4488
feeling suicide,-1.205569231
forced eat slice,-0.875933333
depression,-1.2938
jin tian hen kai xin,0.15625
hen shang xin,0.15625
kai xin,0
kai xin,0
shang xin,0
emo already,0.125
emo sick,-1.0212
course study,0.0375
tmr got anything ,0.010416667
today go service,0.075
coming,0.029761905
coming,0.029761905
yupis surprise,0.463066667
new car house parents,0.022727273
new job hand,0.967944855
change another job,-0.021153846
make happy,1.752218367
love service,1.502966667
bloody hell cant believe forgot surname,-2.076866667
workship god,0.57765
enjoy service,0.9878
love service,1.502966667
believe best,1.9988
gentleman treat dignity respect,2.81972381
haha awesome,1.5928
finally completed course,0.125
low mark,-0.950566667
high mark,0.09047619
hope great break,1.914533333
sorry battery died,-1.785650649
feeling unsafe,-0.266435897
need someone talk,-0.1125
sounds better,1.2864
ok goodnight,0.967
special bonus,1.729128571
promotion,0
great never better,1.338602381
day gives even reasons thank god,1.389231818
great princess,1.541466667
love giving receiving oral,1.851386946
enjoy making love,2.264868367
tell dealers getting impatient,-0.606583333
good evening,1.493895238
taking half day leave bec well,0.885435165
happy new year,1.729027273
happy holiday,2.0637
merry christmas,1.0846
gush good job registering aim gateway peers,1.685241392
good job,1.397741392
enjoying new year,1.501127273
sad,-0.9534
break,0
need separate,-0.3125
hope see next week,0.922466667
well nice stuff,2.103063736
nice stuff,1.346571429
people nice,1.418
great,1.541466667
second runner,-0.025
oic see,0.041666667
worst service,-1.883133333
,0
lot assignment,-0.071428571
many assignment,0
still assignmrny,-0.25
sounds useful work,0.898657143
yes good point,2.017964469
accept point,0.806869231
do,-0.028846154
got lecture,-0.072916667
grand prize,1.7985
becareful robber,-1.6148
do,-0.028846154
got,0.010416667
got school,0.010416667
agree point,0.765669231
offer resume,0
leave job,-0.199353846
devil working,-1.473281481
good idea,1.468895238
really bad experiences,-1.437657143
agree,0.7224
would like transform xml,1.1224
disconnected chat,-0.125
think interesting pellet aterm,1.313415385
really interesting,1.6652
good example,1.514728571
interesting,1.137133333
another project similar,0.1
sometimes frustrated inability,-2.0788
always frustrated inability,-1.6663
nice pictures,1.3805
cool job title,0.636079487
coordinate ,0
tim might become jealous,-0.94885
good point,1.537164469
sounds fine,0.696266667
great way learn,1.551883333
youre done probably know heart ,1.447226573
found useful,0.887378947
still reads ugly,-1.259836364
better way,1.296816667
would glad hear it,0.9176
likely cant make ,-0.041581633
im going look ,-0.05
ill try tonight,-1.390222222
guess not ,-0.125
really work,0.393518519
clut member  extrememist,0
rightclick,0
leftclick,0
looks simple enough,0.126785714
ww add ur part ady,0.041666667
ive looked around good references failed,0.198604329
ive looked around good references,1.568895238
ive looked around good references,1.568895238
well drive google,0.947092308
bajet terbaik bajet hensem,0
semangat patriotik yang terbarasyabas,0
research section ,0.008928571
cheap dirty,-1.2558
depression anxiety,-1.8444
make sense,0.4
berbangga kerana saorang pemimpin terbaik  semuga ahli umno rakyat sokongan yang berbelah  insyaalah bn menang ,0.125
match pretty good ,2.066895238
bad idea,-1.752457143
good idea,1.468895238
yes simplify topological sort,0.77255
dynamic,0.805266667
best best,2.6928125
thanks advice,0.8808
hooray,0.8962
horay,0
mean happy,1.7063
satisfied,1.0305
good point,1.537164469
well happy effectivly process,2.301292308
dont wait minutes hours,0
well good point,2.281856777
,0
nice talking,1.418
sure ,0.6364
rest thanks critic advise appreciate,1.102457143
know tough,-0.089333333
family gift god given,1.386731818
thats good ,1.493895238
misunderstood ,-0.68
idea mean still ,-0.275
wow nice,1.405
yet heard enough,-0.104166667
date,-0.015625
like track,0.699672727
believe dls good basis reasoning,1.718895238
service unavailable,-0.125
need new abbreviation,-0.060606061
well good news,2.338587546
better creating xml entity,1.7179
sounds interesting,1.137133333
pls spread misinformation,-0.75
doubtful ,-0.68
week abit busy,0
log somewhere web ,0
 might,0
please ,0.6364
nice meet ,1.418
violent languages,-1.1988
another dead technology idea,-1.631023529
quite scary,-1.8326
scary,-1.7378
would great,1.541466667
problem thanks,-0.188466667
sorry,-0.1544
pets pretty code,0.83155
programmer error,-0.964514286
interesting idea,1.1538
good,1.493895238
bravo,0.125
update people email,0
eh thats great photo,1.541466667
nice,1.418
id enjoy,0.9878
comments closed ,-0.026960784
pics seems good,1.618895238
keeps notes cool,0.733622222
well reserved,0.978342308
nice mapped onto owl,1.418
excellent itll definitely go,2.7637
would good n,0.8808
right,0.078125
done,-0.028846154
cool,0.4489
need tag issue myyahoocom,-0.0625
answers right question,0.303571429
good question,1.493895238
id busy almost time,0.125
useless,-0.843
need schedule chat scheduling next chat,-0.229166667
helpful hints,1.143
well hold meeting,0.974870085
good job,1.397741392
nominated you think,0.228365385
movie suck pece shit,-1.744966667
beh song sht cibai,0
welcome,1.2301
good idea too,1.468895238
hate guy song ts attidude,-1.3938
idea means,-0.025
think,0
bothered parsers,-0.907233333
hope see interesting results,1.819933333
cant imagine way express,0.010416667
im great believer,1.541466667
worst case introduce blank node,-1.870633333
agree would nice rdf,1.2972
hard understand,-0.3929
simple data model,0.194444444
rdf really easy,1.464566667
pretty simple data structure,0.827085714
data structures ,0
nub,0.083333333
nope going like business,-0.496833333
friends,1.0284
 ,0
nice viewer built osx people,1.543
simple use,0.178571429
 make perfect sense,1.964718367
best thing,1.877966667
surprised thanks coming appreciate,1.420561905
dont wait tomorrow tomorrow tomorrow tomorrow always tomorrow suddenly find late,-0.365401786
made lose,-0.757881633
rejected quickly,-1.164057143
little worried formats fractured,-1.554958333
nice pharse invente anything,1.418
complicated,-0.125
relax dc,0.8808
always amazing,0.9593
effectively obsolete anything already,0.7933
late,-0.03125
sorry still see avoided using rdfparsetype,-0.9288
believe parsers,0
like,0.7224
well defined meaning,1.097092308
friendly people,1.1753
yes believe,1.1538
