text,score
मिकी वाइरस पूरी तरह से मनीष पॉल की फिल्म है और फिल्म में उनकी इमेज के हिसाब से ही दृश्य और स्थितियां रची गई थीं,1
मनीष ने अपने किरकार को बखूबी निभाया है,1
"उन्होंने शाहिद के डर, खौफ, संघर्ष, जिद और जीत को बखूबी व्यक्त किया है",1
वे हर भाव के दृश्यों में नैचुरल लगते हैं,1
फिल्म की कास्टिंग जबरदस्त है,1
"शाहिद के भाइयों, मां और पत्‍‌नी की भूमिकाओं में भी उपयुक्त कलाकारों का चयन हुआ है",1
फिल्म के कोर्ट रूम सीन रियल हैं,1
अक्षय कुमार का अल्हड़ और बेफिक्र अंदाज मुग्ध करता है,1
कैमरे के सामने उनका गहन आत्मविश्वास मुखर रहता है,1
उन्हें कुछ चटपटे संवाद भी मिले हैं,1
वे सीमित दृश्यों में भी अपनी प्रतिभा जाहिर कर देते हैं,1
फराज हैदर ने भारत-पाकिस्तान के बीच विभाजन के बाद जारी पीढि़यों की तनातनी और युद्ध के माहौल को शांति और अमन की सोच के साथ मजाकिया तौर पर पेश किया है,1
फराज हैदर का विचार प्रशंसनीय है,1
फिल्म गाने ही,1
"का एक जबरदस्त आकर्षण चुलबुल (ऋषि कपूर) और बुलबुल (नीतू सिंह) की जोड़ी है
 फिल्म के ग्रेस मा‌र्क्स हैं",1
चंदन रॉय सान्याल एक उम्दा अभिनेता हैं इसमें कोई शक नहीं है,1
फिल्म की एक और महत्वपूर्ण बात इसका कैमरा है जो लगातार मूविंग रहता है,1
नएपन के बावजूद सभी कलाकारों के परस्पर तालमेल से दृश्य रोचक हुए हैं,1
खौफ के एहसास के बाद उनके चेहरे पर आया डर इस फिल्म की खूबी है,1
पानी में तैरते हुए ही उन्हें सारे भाव व्यक्त करने थे,1
"रितेश बत्रा की 'द लंचबॉक्स' सुंदर, मर्मस्पर्शी, संवेदनशील, रियलिस्टिक और मोहक फिल्म है",1
हिंदी फिल्मों में मनोरंजन की आक्रामक धूप से तिलमिलाए दर्शकों के लिए यह ठंडी छांव और बार की तरह है,1
तपतपाते बाजारू मौसम में यह सुकून देती है,1
"इरफान (साजन) और निम्रत कौर (इला) सहज, संयमित और भावपूर्ण अभिनय के उदाहरण हैं",1
डायनिंग हॉल के टेबल पर अपरिचित टिफिन को खोलते समय इरफान के एक-एक भाव को पढ़ा सकता है,1
टिफिन खोलते और व्यंजनों की सूंघते-छूते समय इरफान के चेहरे पर संचरित भाव अंतस की खुशी जाहिर करता है,1
उनकी सही टाइमिंग और कॉमिकल अप्रोच से फिल्म कहीं-कहीं इटरेस्टिंग हो जाती ह,1
इन दृश्यों में फिल्म हंसाती भी है,1
उनकी सही टाइमिंग और कॉमिकल अप्रोच से फिल्म कहीं-कहीं इटरेस्टिंग हो जाती है,1
उन्होंने हमेशा ऐसी फिल्मों के दृश्यों को अपने संगीत से प्रभावपूर्ण बना दिया है,1
प्यार और रोमांस के प्रति यूथ का ढुलमुल और अस्पष्ट रवैया फिल्म में अच्छी तरह से चित्रित हुआ है,1
फिल्म का गीत-संगीत नया और विषय के अनुकूल है,1
वे उद्गार से अधिक संभाषण और संवाद लगते है,1
उसी प्रकार की कृत्रिमता का एहसास 'जंजीर' देख कर हो सकता है,1
मल्टीप्लेक्स के दर्शकों को मजा भी आएगा,1
शूजीत सरकार ने इस फिल्म में सीमित रेंज के अभिनेता की क्षमताओं का सुंदर इस्तेमाल किया है,1
जॉन अब्राहम ने किरदार की अपेक्षाओं पर खरा उतरने की कोशिश की है,1
निर्देशक की अपारंपरिक कास्टिंग से फिल्म की विश्वसनीयता बढ़ गई है,1
फिल्म के लेखकों की मेहनत ही दस्तावेजी विषय को एक रोचक फिल्म में बदलती है,1
कुछ ही दृश्यों में इमरान खान की मेहनत सफल होती दिखती है,1
अक्षय कुमार के चरित्र को स्टाइल देने में सफलता मिली है,1
फिल्म सरल होती हैं और देश के आम दर्शकों से सीधा संबंध बनाती हैं,1
रोहित शेट्टी की फिल्मों में उदास रंग नहीं होते,1
कलाकारों के कपड़ों से लेकर पृष्ठभूमि की प्रापर्टी तक में यह कंटीन्यूटी बनी रहती,1
सारे झकास रंग होते हैं और बिंदास प्रसंग रहते हैं,1
बीए पास' सामाजिक जीवन में विमर्श के अनेक पहलुओं को छूती हुई निकल जाती है,1
अपनी तकनीकी टीम की मदद से निर्देशक ने फिल्म के परिवेश को रियल रखा है,1
"एक अंतराल के बाद ऐसी फिल्म आई है, जिस के किरदारों के नाम थिएटर से निकलने के बाद भी याद रहते हैं",1
तीनों किरदारों को अच्छी तरह गढ़ा गया है,1
उनकी संवाद अदायगी स्पष्ट औच्च्च्च्छी है,1
इन ख्वाहिशों को निर्देशक ने रोचक तरीके से चित्रित किया है,1
कलाकारों में रवि किशन के इस अंदाज में देखना अच्छा लगता है,1
ऊपर से सभ्य-सुशील और अंदर से शातिर-शैतान व्यक्ति को उन्होंने अच्छी तरह पर्दे पर उतारा है,1
अदायगी की उनकी छटा देखते ही बनती है,1
"अन्य कलाकारों में रणवीर शौरी, विनय पाठक, विशाखा सिंह उल्लेखनीय हैं",1
फिल्म का गीत-संगीत बेहतर है,1
फिल्मों में कला की अपेक्षा रखने वाले दर्शकों के लिए किरण राव की यह कलात्मक सौगात है,1
"दृश्यबंध और संरचना, शिल्प और मू‌र्त्तन एवं प्रस्तुति में आनंद गांधी हिंदी आर्ट फिल्म निर्देशकों की परंपरा से जुड़ते हैं",1
फिल्म की शुरुआत शानदार है,1
राकेश ओमप्रकाश मेहरा ने बखूबी उस दर्शक के परिवेश और समाज के साथ प्रस्तुत किया है,1
यह फिल्म किशोर और युवा दर्शकों को अवश्य देखनी-दिखानी चाहिए,1
फरहान अख्तर ने मिल्खा के बाह्य रूप के साथ आंतरिक कसावट को भी आत्मसात किया है,1
वे शुरु से आखिर तकमिल्खा सिंह बने रहे हैं,1
बाल मिल्खा बने कलाकार ने उनके लिए उचित जमीन तैयार की है,1
रसून जोशी ने बहुत खूबसूरती और प्रभावशाली तरीके से देश के बंटवारे को फिल्म में गूंथा है,1
प्रसून जोशी ने फ्लैशबैक और फिर उसमें फ्लैशबैक के शिल्प से कहानी को रोचक आयाम दिए हैं,1
मिल्खा के चरित्र में हमारी रुचि बनी रहती है,1
आप पाएंगे कि चाहे-अनचाहे उसकी मासूमियत और कोमलता ने आप को भिगो दिया है,1
"इस प्रेम कहानी का धोखा खलता जरूर है,लेकिन वह छलता नहीं है।",1
विक्रम छठे दशक के बंगाल की पृष्ठभूमि में एक रोचक और उदास प्रेम कहानी चुनते हैं,1
वह किरदारों का विरेचन करता है और आखिरकार दर्शक के सौंदर्य बोध को उष्मा देता है,1
अपनी दूसरी फिल्म में ही विक्रम सरल और सांद्र निर्देशक होने का संकेत देते हैं। ठोस उम्मीद जगाते हैं,1
फिल्म में आई बनारस की झलक सम्मोहक है,1
आनंद राय ने बहुत खूबसूरती और सोच से कुंदन के चरित्र को गढ़ा है,1
"बाकी किरदारों में भी उनकी सोच झलकती है, लेकिन कुंदन अप्रतिम है धनुष की निर्मल और स्वच्छ अभिनय कुंदन के किरदार को प्रिय और विश्वसनीय बना देता है",1
'रांझणा' के लेखक हिमांशु शर्मा को अतिरिक्त धन्यवाद,1
"उन्होंने बनारस के रंग, तंज, तेजाबी प्रवृति और चरित्रों को दृश्यों ,शब्दों और संवादों में तीक्ष्णता से उतारा है",1
"फिर भी राजकुमार गुप्ता ने जिस संजीदगी और नवीनता के साथ किरदारों को गढ़ा और रचा है, वे इन कमियों को ढक देते हैं",1
इसमें उन्हें इमरान हाशमी और विद्या बालन से मदद मिलती है,1
दोनों कलाकार अंत तक अपने किरदारों में रहे हैं,1
राजकुमार गुप्ता की तारीफ करनी होगी कि उन्होंने कहानी के सस्पेंस को उसके खुलने तक बनाए रखा है,1
उनके चरित्र को गढ़ने में लेखक-निर्देशक ने मेहनत भी की है,1
के के मेनन और सुनील शेट्टी की मेहनत दिखाई पड़ती है,1
ड्रामा और एक्शन का स्तर बढ़ाया है,1
बावजूद इसके उस कहानी में नयापन लाकर दर्शकों के सामने प्रस्तुत करना एक बड़ी चुनौती थी जिसे निर्देशक ने बखूबी निभाया है,1
कैमरा वर्क और एडिटिंग डिपार्टमेंट ने स्क्रीनप्ले का पूरी तरह से साथ निभाया है,1
अभिनय की अगर बात की जाए तो अक्षय खन्ना बाजी मार ले जाते हैं और उनकी उपस्थिति फ़िल्म को एक अलग लेवल पर ले जाती है,1
सिद्धार्थ मल्होत्रा और सोनाक्षी सिन्हा ने भी किरदारों के साथ न्याय किया है,1
इस तरह की फ़िल्में शायद आप घर तक साथ ना ले जा पाएं मगर मनोरंजन की पूरी गारंटी होती है,1
एक स्ट्रांग स्टोरीलाइन भी डाली है जो इसे अधिक रोचक बनाता है,1
सभी का परफॉमेंस जबरदस्त रहा है,1
कुल मिलाकर 'गोलमाल अगेन' एक मनोरंजक फ़िल्म है,1
"एक ऐसी फ़िल्म जो ना सिर्फ आपके दिल को छू जाती है, बल्कि आपकी ज़िंदगी का हिस्सा भी बन जाती है",1
"ये फ़िल्म आपको हंसाती है, रुलाती है और आपके सपनों को हक़ीक़त में बदलने का एक भरोसा जगाती है",1
"निर्देशक अद्वैत चंदन अपनी डेब्यू फ़िल्म में ही वह परचम लहराने में सफल रहे हैं, जो एक मंझा हुआ फ़िल्ममेकर ही कर सकता है",1
इंसिया के किरदार में ज़ायरा वसीम पूरी तरह से छा जाती हैं,1
"मां-बेटी के भावनात्मक संबंधों के लिए, सपने देखने वाले हर उस दिल के लिए जो किसी बंधन में नही बंधता..यह फ़िल्म 'सीक्रेट सुपरस्टार' ज़रूर देखी जानी चाहिए",1
उनकी उपस्थिति फ़िल्म को दूसरे आयाम पर ले जाती है,1
रितेश शाह राजा मेनन और सुरेश नायर ने बहुत ही खूबसूरती से इसका स्क्रीनप्ले बनाया है,1
लंबे समय के बाद राजपाल यादव को पर्दे पर देखना सुखद था,1
फ़िल्म की सिनेमेटोग्राफी कमाल की है,1
प्लास्टिक फिल्मों से दूर एक ईमानदार फिल्म है 'न्यूटन',1
यह फिल्म इतनी ईमानदार है कि आपको बरबस ही समानांतर सिनेमा का वह सुनहरा दौर याद आ जाता है,1
"कंगना ने ज़बरदस्त परफॉर्मेंस किया है, इस बात के लिए उनकी तारीफ़ करनी होगी",1
सिनेमेटोग्राफी तो शानदार है,1
फ़िल्म के संवादों पर किरदार के हिसाब से विशेष मेहनत की गई है यह भी साफ़ दिखता है,1
