text,score
ಲಾಕ್​ಡೌನ್​​ ನಂತರ ಯಥಾಸ್ಥಿತಿಗೆ ಮರಳಿದ ಮೆಜೆಸ್ಟಿಕ್ | Majestic | Bangalore | Back To Normal After Lockdown,0
300 கிமீ வேகத்தில் சீறிப் பாய்ந்த பைக்.. மொத்தமாக தூக்கிய Bangalore police,0
Pakistani Reaction on Bangalore City INDIA 2020 | View & Facts | Karnataka | Reaction Waley,1
Bangalore Commissioner Bhaskar Rao Reacts On Lockdown And Bangalore Present Situation,1
"We are all tired, but we need to keep going. The future needs us!.bHai tumhara tired hai",-1
"Ao utilizar as mídias sociais, os juízes devem se nortear pelos Princípios de Bangalore, criados há cerca de 20 anos para guiar o trabalho e a vida pessoal dos magistrados, quais sejam: independência, imparcialidade, integridade, idoneidade, igualdade, competência e diligência. https://twitter.com/STJnoticias/status/1285186241177227268 …",0
"That's not a Dad Bod, That is a Fat bod aur bohot kharrab hai",0
"@indiacares_2020 @_pulkitg @myogiadityanath 
Hello All
2 Guys are travelling to Lucknow, UP by Flight from Bangalore. Do they need any E-Pass ? If yes please share the link to apply for EPass.

I just met him at Bangalore Airport on the way to Hyderab",0
"When interstate travel opened, many of those stuck in MH/TN/DELHI will return home,others also find Bangalore better in CORONAVIRUS infected numbers will try to shift to safer places.BUT it is totally the responsibility/duty of host state authorities to screen incoming passengers",1
Bangalore be cold like it's December already. Desperately need a couple of sunny days.,-1
"OMG! Current windoswap window has DOGGOS in it! With wagging tails! Also amazing deck-plant action. #iminlove 

[Window is in Bangalore, Inda.]",1
I can smell something burning in Mumbai from Bangalore. Don't be J from kangana u C grade actresses. @ReallySwara @SethShruti @RichaChadha #NationStandsWithKangana,0
"21/07/2020 05:06 marwa liye hum

Air Temperature: 23.7°C
Real Feel Temperature: 24.3°C
Relative Humidity: 84.3%
Water Vapor in 1kg of Air: 17.3g/kg
Dew Point: 20.9°C
Mean Sea Level Pressure: 1018.5mb
Actual Pressure: 914.2mb

#Bengaluru #Bangalore #ಬೆಂಗಳೂರು",-1
"https://www.facebook.com/groups/414482492614003/?ref=share …
Join this group",0
We must be vary of consequences before build up of relationships. Never trust a chink! He will never be trustworthy!! -https://timesofindia.indiatimes.com/business/india-business/chinese-companies-in-india-under-government-lens-over-links-with-pla/articleshow/77044771.cms …,0
When everything is owned by the government and party where there exists PRIVATE. There is no difference between the party and people. All belong to the party!! - https://timesofindia.indiatimes.com/business/india-business/chinese-companies-in-india-under-government-lens-over-links-with-pla/articleshow/77044771.cms …,0
"#kgfchapter2 shooting still 
#yash @ Bangalore, India https://www.instagram.com/p/CCzW_85H6Xp/?igshid=1rh4p9mmb6k4m …",0
"-Bangalore stretching and putting on runners-
Wraith: What are you doing?
Bangalore: Just getting in my cardio for the day pata nahi kya hoga",0
@yumesexxhi tu prefere loba ou bangalore ?,0
phir se lockdown ho sakta hai,0
Unlearn and adhere to the civilisation! -https://timesofindia.indiatimes.com/india/pullback-only-option-before-you-india-firmly-tells-china/articleshow/77044978.cms …,0
I dreamt I took a transfer from the US to Bangalore in my current company.,0
"LOCATION: Bangalore/Gurgaon.

QUALIFICATIONS:
Bachelor's degree in Computer Science, related technical discipline or equivalent practical experience

8+ years of experience in consumer-facing software products with high levels of concurrency in Gaming, re…https://lnkd.in/dGC-2CG ",1
We are safe.. hopefully.. Bangalore has become an epicentre now...No beds in Hospitals n acute shortage of Medical Personnel here..this #ChineseVirus is lab tweaked & is dangerous...Take utmost precautions..,1
"The all day marathon continues!

Streaming Apex now! http://twitch.tv/jawniestone 
#twitch #ApexLegends #apex #gaming #Xbox #gamer #Bangalore #Flatline #XPistole_Squadx #APEXPissBoyspic.twitter.com/qQLf4kXpMZ",0
"19/07/2020 05:06

Air Temperature: 23.7°C
Real Feel Temperature: 24.3°C
Relative Humidity: 84.3%
Water Vapor in 1kg of Air: 17.3g/kg
Dew Point: 20.9°C
Mean Sea Level Pressure: 1018.5mb
Actual Pressure: 914.2mb

#Bengaluru #Bangalore #ಬೆಂಗಳೂರು",-1
"@siddapuraps @DCPSouthBCP @ArnabGoswamiRTV Siddapura mosques have started wreaking havoc, 5 times a day, again, starting from 5 AM. Siddapura is incidentally a covid hotspot too. @Tejasvi_Surya FYI. No wonder bangalore has gone out of control. @BJP4Karnat",0
"@delhivery @help_delhivery @SriSriTattva have not received this order. Placed 11 days back, delivery in Bangalore only.
Tracking ID 1637511271303
Order ID 80436
Says for July 7, waiting for pick up",0
"I got trained in Acting from ""Centre Stage"" in Bangalore!",0
Can it be delivered to Bangalore???,0
Screenshot your statement: will continue to send you numbers proving you are wrong every 30 days for 3 months at least. PS: I too am originally from Karnataka (Bangalore) from my father’s side.,-1
"1 Bedroom Paying Guest for rent in Electronic City, Bangalore https://goo.gl/fb/xtyFSn ",0
"Live in Palo Duro Canyon, Texas, USA // Playing  Apex Legends; Proficient with Wraith & Pathfinder, and competent with 8 other Legends:  Bloodhound, Gibraltar, Lifeline, Bangalore, Caustic, Wattson, Revanant and Loba.  Casual gamer...in it for fun and friends.  ;-) pic.twitter.com/Lg6M195OBj",-1
